"Name","STDOFF","Rule","Format","Year","Month","Day","Time","Comment"
"Africa/Algiers","0:12:12","-","LMT","1891","Mar","16",,""
"Africa/Algiers","0:09:21","-","PMT","1911","Mar","11",,"Paris Mean Time"
"Africa/Algiers","0:00","Algeria","WE%sT","1940","Feb","25","2:00",""
"Africa/Algiers","1:00","Algeria","CE%sT","1946","Oct","7",,""
"Africa/Algiers","0:00","-","WET","1956","Jan","29",,""
"Africa/Algiers","1:00","-","CET","1963","Apr","14",,""
"Africa/Algiers","0:00","Algeria","WE%sT","1977","Oct","21",,""
"Africa/Algiers","1:00","Algeria","CE%sT","1979","Oct","26",,""
"Africa/Algiers","0:00","Algeria","WE%sT","1981","May",,,""
"Africa/Algiers","1:00","-","CET",,,,,""
"Atlantic/Cape_Verde","-1:34:04","-","LMT","1912","Jan","01","2:00u","Praia"
"Atlantic/Cape_Verde","-2:00","-","-02","1942","Sep",,,""
"Atlantic/Cape_Verde","-2:00","1:00","-01","1945","Oct","15",,""
"Atlantic/Cape_Verde","-2:00","-","-02","1975","Nov","25","2:00",""
"Atlantic/Cape_Verde","-1:00","-","-01",,,,,""
"Africa/Ndjamena","1:00:12","-","LMT","1912","Jan","1",,"N'Djamena"
"Africa/Ndjamena","1:00","-","WAT","1979","Oct","14",,""
"Africa/Ndjamena","1:00","1:00","WAST","1980","Mar","8",,""
"Africa/Ndjamena","1:00","-","WAT",,,,,""
"Africa/Abidjan","-0:16:08","-","LMT","1912","Jan","1",,""
"Africa/Abidjan","0:00","-","GMT",,,,,""
"Africa/Cairo","2:05:09","-","LMT","1900","Oct",,,""
"Africa/Cairo","2:00","Egypt","EE%sT",,,,,""
"Africa/Bissau","-1:02:20","-","LMT","1912","Jan","1","1:00u",""
"Africa/Bissau","-1:00","-","-01","1975",,,,""
"Africa/Bissau","0:00","-","GMT",,,,,""
"Africa/Nairobi","2:27:16","-","LMT","1908","May",,,""
"Africa/Nairobi","2:30","-","+0230","1928","Jun","30","24:00",""
"Africa/Nairobi","3:00","-","EAT","1930","Jan","4","24:00",""
"Africa/Nairobi","2:30","-","+0230","1936","Dec","31","24:00",""
"Africa/Nairobi","2:45","-","+0245","1942","Jul","31","24:00",""
"Africa/Nairobi","3:00","-","EAT",,,,,""
"Africa/Monrovia","-0:43:08","-","LMT","1882",,,,""
"Africa/Monrovia","-0:43:08","-","MMT","1919","Mar",,,"Monrovia Mean Time"
"Africa/Monrovia","-0:44:30","-","MMT","1972","Jan","7",,"approximately MMT"
"Africa/Monrovia","0:00","-","GMT",,,,,""
"Africa/Tripoli","0:52:44","-","LMT","1920",,,,""
"Africa/Tripoli","1:00","Libya","CE%sT","1959",,,,""
"Africa/Tripoli","2:00","-","EET","1982",,,,""
"Africa/Tripoli","1:00","Libya","CE%sT","1990","May","4",,""
"Africa/Tripoli","2:00","-","EET","1996","Sep","30",,""
"Africa/Tripoli","1:00","Libya","CE%sT","1997","Oct","4",,""
"Africa/Tripoli","2:00","-","EET","2012","Nov","10","2:00",""
"Africa/Tripoli","1:00","Libya","CE%sT","2013","Oct","25","2:00",""
"Africa/Tripoli","2:00","-","EET",,,,,""
"Indian/Mauritius","3:50:00","-","LMT","1907",,,,"Port Louis"
"Indian/Mauritius","4:00","Mauritius","+04/+05",,,,,""
"Africa/Casablanca","-0:30:20","-","LMT","1913","Oct","26",,""
"Africa/Casablanca","0:00","Morocco","+00/+01","1984","Mar","16",,""
"Africa/Casablanca","1:00","-","+01","1986",,,,""
"Africa/Casablanca","0:00","Morocco","+00/+01","2018","Oct","28","3:00",""
"Africa/Casablanca","1:00","Morocco","+01/+00",,,,,""
"Africa/El_Aaiun","-0:52:48","-","LMT","1934","Jan",,,"El Aai??n"
"Africa/El_Aaiun","-1:00","-","-01","1976","Apr","14",,""
"Africa/El_Aaiun","0:00","Morocco","+00/+01","2018","Oct","28","3:00",""
"Africa/El_Aaiun","1:00","Morocco","+01/+00",,,,,""
"Africa/Maputo","2:10:20","-","LMT","1903","Mar",,,""
"Africa/Maputo","2:00","-","CAT",,,,,""
"Africa/Windhoek","1:08:24","-","LMT","1892","Feb","8",,""
"Africa/Windhoek","1:30","-","+0130","1903","Mar",,,""
"Africa/Windhoek","2:00","-","SAST","1942","Sep","20","2:00",""
"Africa/Windhoek","2:00","1:00","SAST","1943","Mar","21","2:00",""
"Africa/Windhoek","2:00","-","SAST","1990","Mar","21",,"independence"
"Africa/Windhoek","2:00","Namibia","%s",,,,,""
"Africa/Lagos","0:13:35","-","LMT","1905","Jul","1",,""
"Africa/Lagos","0:00","-","GMT","1908","Jul","1",,""
"Africa/Lagos","0:13:35","-","LMT","1914","Jan","1",,""
"Africa/Lagos","0:30","-","+0030","1919","Sep","1",,""
"Africa/Lagos","1:00","-","WAT",,,,,""
"Africa/Sao_Tome","0:26:56","-","LMT","1884",,,,""
"Africa/Sao_Tome","-0:36:45","-","LMT","1912","Jan","1","00:00u","Lisbon MT"
"Africa/Sao_Tome","0:00","-","GMT","2018","Jan","1","01:00",""
"Africa/Sao_Tome","1:00","-","WAT","2019","Jan","1","02:00",""
"Africa/Sao_Tome","0:00","-","GMT",,,,,""
"Africa/Johannesburg","1:52:00","-","LMT","1892","Feb","8",,""
"Africa/Johannesburg","1:30","-","SAST","1903","Mar",,,""
"Africa/Johannesburg","2:00","SA","SAST",,,,,""
"Africa/Khartoum","2:10:08","-","LMT","1931",,,,""
"Africa/Khartoum","2:00","Sudan","CA%sT","2000","Jan","15","12:00",""
"Africa/Khartoum","3:00","-","EAT","2017","Nov","1",,""
"Africa/Khartoum","2:00","-","CAT",,,,,""
"Africa/Juba","2:06:28","-","LMT","1931",,,,""
"Africa/Juba","2:00","Sudan","CA%sT","2000","Jan","15","12:00",""
"Africa/Juba","3:00","-","EAT","2021","Feb","1","00:00",""
"Africa/Juba","2:00","-","CAT",,,,,""
"Africa/Tunis","0:40:44","-","LMT","1881","May","12",,""
"Africa/Tunis","0:09:21","-","PMT","1911","Mar","11",,"Paris Mean Time"
"Africa/Tunis","1:00","Tunisia","CE%sT",,,,,""
"Antarctica/Casey","0","-","-00","1969",,,,""
"Antarctica/Casey","8:00","-","+08","2009","Oct","18","2:00",""
"Antarctica/Casey","11:00","-","+11","2010","Mar","5","2:00",""
"Antarctica/Casey","8:00","-","+08","2011","Oct","28","2:00",""
"Antarctica/Casey","11:00","-","+11","2012","Feb","21","17:00u",""
"Antarctica/Casey","8:00","-","+08","2016","Oct","22",,""
"Antarctica/Casey","11:00","-","+11","2018","Mar","11","4:00",""
"Antarctica/Casey","8:00","-","+08","2018","Oct","7","4:00",""
"Antarctica/Casey","11:00","-","+11","2019","Mar","17","3:00",""
"Antarctica/Casey","8:00","-","+08","2019","Oct","4","3:00",""
"Antarctica/Casey","11:00","-","+11","2020","Mar","8","3:00",""
"Antarctica/Casey","8:00","-","+08","2020","Oct","4","0:01",""
"Antarctica/Casey","11:00","-","+11","2021","Mar","14","0:00",""
"Antarctica/Casey","8:00","-","+08","2021","Oct","3","0:01",""
"Antarctica/Casey","11:00","-","+11","2022","Mar","13","0:00",""
"Antarctica/Casey","8:00","-","+08","2022","Oct","2","0:01",""
"Antarctica/Casey","11:00","-","+11","2023","Mar","9","3:00",""
"Antarctica/Casey","8:00","-","+08",,,,,""
"Antarctica/Davis","0","-","-00","1957","Jan","13",,""
"Antarctica/Davis","7:00","-","+07","1964","Nov",,,""
"Antarctica/Davis","0","-","-00","1969","Feb",,,""
"Antarctica/Davis","7:00","-","+07","2009","Oct","18","2:00",""
"Antarctica/Davis","5:00","-","+05","2010","Mar","10","20:00u",""
"Antarctica/Davis","7:00","-","+07","2011","Oct","28","2:00",""
"Antarctica/Davis","5:00","-","+05","2012","Feb","21","20:00u",""
"Antarctica/Davis","7:00","-","+07",,,,,""
"Antarctica/Mawson","0","-","-00","1954","Feb","13",,""
"Antarctica/Mawson","6:00","-","+06","2009","Oct","18","2:00",""
"Antarctica/Mawson","5:00","-","+05",,,,,""
"Antarctica/Troll","0","-","-00","2005","Feb","12",,""
"Antarctica/Troll","0:00","Troll","%s",,,,,""
"Antarctica/Vostok","0","-","-00","1957","Dec","16",,""
"Antarctica/Vostok","7:00","-","+07","1994","Feb",,,""
"Antarctica/Vostok","0","-","-00","1994","Nov",,,""
"Antarctica/Vostok","7:00","-","+07","2023","Dec","18","2:00",""
"Antarctica/Vostok","5:00","-","+05",,,,,""
"Antarctica/Rothera","0","-","-00","1976","Dec","1",,""
"Antarctica/Rothera","-3:00","-","-03",,,,,""
"Asia/Kabul","4:36:48","-","LMT","1890",,,,""
"Asia/Kabul","4:00","-","+04","1945",,,,""
"Asia/Kabul","4:30","-","+0430",,,,,""
"Asia/Yerevan","2:58:00","-","LMT","1924","May","2",,""
"Asia/Yerevan","3:00","-","+03","1957","Mar",,,""
"Asia/Yerevan","4:00","RussiaAsia","+04/+05","1991","Mar","31","2:00s",""
"Asia/Yerevan","3:00","RussiaAsia","+03/+04","1995","Sep","24","2:00s",""
"Asia/Yerevan","4:00","-","+04","1997",,,,""
"Asia/Yerevan","4:00","RussiaAsia","+04/+05","2011",,,,""
"Asia/Yerevan","4:00","Armenia","+04/+05",,,,,""
"Asia/Baku","3:19:24","-","LMT","1924","May","2",,""
"Asia/Baku","3:00","-","+03","1957","Mar",,,""
"Asia/Baku","4:00","RussiaAsia","+04/+05","1991","Mar","31","2:00s",""
"Asia/Baku","3:00","RussiaAsia","+03/+04","1992","Sep","lastSun","2:00s",""
"Asia/Baku","4:00","-","+04","1996",,,,""
"Asia/Baku","4:00","EUAsia","+04/+05","1997",,,,""
"Asia/Baku","4:00","Azer","+04/+05",,,,,""
"Asia/Dhaka","6:01:40","-","LMT","1890",,,,""
"Asia/Dhaka","5:53:20","-","HMT","1941","Oct",,,"Howrah Mean Time?"
"Asia/Dhaka","6:30","-","+0630","1942","May","15",,""
