"Name","SYear","EYear","Month","DayRule","Time","Offset","Token","Comment"
"Algeria","1916","1916","Jun","14","23:00s","1:00","S",""
"Algeria","1916","1919","Oct","Sun>=1","23:00s","0","-",""
"Algeria","1917","1917","Mar","24","23:00s","1:00","S",""
"Algeria","1918","1918","Mar","9","23:00s","1:00","S",""
"Algeria","1919","1919","Mar","1","23:00s","1:00","S",""
"Algeria","1920","1920","Feb","14","23:00s","1:00","S",""
"Algeria","1920","1920","Oct","23","23:00s","0","-",""
"Algeria","1921","1921","Mar","14","23:00s","1:00","S",""
"Algeria","1921","1921","Jun","21","23:00s","0","-",""
"Algeria","1939","1939","Sep","11","23:00s","1:00","S",""
"Algeria","1939","1939","Nov","19","1:00","0","-",""
"Algeria","1944","1945","Apr","Mon>=1","2:00","1:00","S",""
"Algeria","1944","1944","Oct","8","2:00","0","-",""
"Algeria","1945","1945","Sep","16","1:00","0","-",""
"Algeria","1971","1971","Apr","25","23:00s","1:00","S",""
"Algeria","1971","1971","Sep","26","23:00s","0","-",""
"Algeria","1977","1977","May","6","0:00","1:00","S",""
"Algeria","1977","1977","Oct","21","0:00","0","-",""
"Algeria","1978","1978","Mar","24","1:00","1:00","S",""
"Algeria","1978","1978","Sep","22","3:00","0","-",""
"Algeria","1980","1980","Apr","25","0:00","1:00","S",""
"Algeria","1980","1980","Oct","31","2:00","0","-",""
"Egypt","1940","1940","Jul","15","0:00","1:00","S",""
"Egypt","1940","1940","Oct","1","0:00","0","-",""
"Egypt","1941","1941","Apr","15","0:00","1:00","S",""
"Egypt","1941","1941","Sep","16","0:00","0","-",""
"Egypt","1942","1944","Apr","1","0:00","1:00","S",""
"Egypt","1942","1942","Oct","27","0:00","0","-",""
"Egypt","1943","1945","Nov","1","0:00","0","-",""
"Egypt","1945","1945","Apr","16","0:00","1:00","S",""
"Egypt","1957","1957","May","10","0:00","1:00","S",""
"Egypt","1957","1958","Oct","1","0:00","0","-",""
"Egypt","1958","1958","May","1","0:00","1:00","S",""
"Egypt","1959","1981","May","1","1:00","1:00","S",""
"Egypt","1959","1965","Sep","30","3:00","0","-",""
"Egypt","1966","1994","Oct","1","3:00","0","-",""
"Egypt","1982","1982","Jul","25","1:00","1:00","S",""
"Egypt","1983","1983","Jul","12","1:00","1:00","S",""
"Egypt","1984","1988","May","1","1:00","1:00","S",""
"Egypt","1989","1989","May","6","1:00","1:00","S",""
"Egypt","1990","1994","May","1","1:00","1:00","S",""
"Egypt","1995","2010","Apr","lastFri","0:00s","1:00","S",""
"Egypt","1995","2005","Sep","lastThu","24:00","0","-",""
"Egypt","2006","2006","Sep","21","24:00","0","-",""
"Egypt","2007","2007","Sep","Thu>=1","24:00","0","-",""
"Egypt","2008","2008","Aug","lastThu","24:00","0","-",""
